target,mae,rmse,mape,q_error_p50,q_error_p90,q_error_p95,q_error_p99,group_support
execution_time_ms,298.6064911820969,389.00592764809005,0.9532861281536708,2.2912368229510167,3.3244159244835947,3.483554803172834,3.9347865251776852,22
planner_total_cost,101433.01615140354,130704.55887173177,1.3162727261469744,1.879509854879154,6.1345027336150615,6.141695374512048,6.148928657951532,22
planning_time_ms,0.9221699611648223,1.2805157545309644,0.9163151428064025,1.9364699659941542,3.3742047442548904,4.0478884209237105,4.551346527881937,22
