condition,target,mae,rmse,mape,q_error_p50,r2
sql_only,execution_time_ms,37.03380497019494,97.75377034234427,0.08925940870711584,1.0538748037576957,0.9525267316955817
sql_only,planner_total_cost,1843.188909718506,6862.77054928575,0.01935966301733772,1.0007770556124718,0.9976006908372675
sql_only,planning_time_ms,0.491949431180283,0.917656902219788,0.44290930408539486,1.2627012067029373,0.45664894331148476
plan_only,execution_time_ms,36.855666894175,88.88664483493206,0.10652629654214663,1.0548145257890182,0.9607486024446378
plan_only,planner_total_cost,1372.1367871199263,4303.958260501695,0.01620137596508984,1.0021891390157056,0.9990563230295537
plan_only,planning_time_ms,0.49830594526433697,0.9237211086330024,0.4456077863880562,1.2771976670286544,0.4494438970614201
combined,execution_time_ms,37.20761610391797,89.98547271506105,0.10702450721199838,1.0556089212711328,0.9597721425373972
combined,planner_total_cost,1289.773220819943,4300.510782909648,0.01852153199871292,1.0013089518379366,0.9990578341976746
combined,planning_time_ms,0.4987495083158849,0.9246953069917362,0.44438805950806093,1.2794441036376816,0.4482820015999469
postgres_cost_proxy,execution_time_ms,152988.48808636356,207202.46976434856,424.23325053712904,382.59932611100044,-213289.71650382402
