target,model_family,is_selected,mae,rmse,mape,q_error_p50,q_error_p90,r2
execution_time_ms,dummy_mean,False,288.04430051787796,484.8499706638446,0.9224251345911751,1.7476638927814274,4.781684923397697,-0.16787629945465565
execution_time_ms,ridge,False,148.52647446411635,237.19617556755253,0.3400513181503506,1.321081608705284,1.9993366812727749,0.7204899277002728
execution_time_ms,random_forest,True,38.13058380299577,91.98920531793482,0.09664569570001799,1.0563468871695134,1.2802448753627076,0.9579606655464423
execution_time_ms,hist_gradient_boosting,False,37.20761610391797,89.98547271506105,0.10702450721199838,1.0556089212711328,1.282901519858689,0.9597721425373972
planner_total_cost,dummy_mean,False,84649.3348194213,140726.74133932497,1.6579591988741413,1.4956115297868273,10.704122264656569,-0.00888233389192461
planner_total_cost,ridge,False,63170.7034045726,78376.275446545,1.098936620183116,1.568790739375225,7.514956350902186,0.6870633007551825
planner_total_cost,random_forest,False,1144.2811277614016,4239.352629551659,0.01132011581624246,1.0007682720300488,1.0174894828214471,0.9990844409914197
planner_total_cost,hist_gradient_boosting,True,1289.773220819943,4300.510782909648,0.01852153199871292,1.0013089518379366,1.0598617006569448,0.9990578341976746
planning_time_ms,dummy_mean,False,0.8131530899908173,1.2457408386844036,1.0143680148121241,1.7031032318517734,4.0319322367319606,-0.0013254372599307285
planning_time_ms,ridge,False,0.5485372843927866,0.9422872751978731,0.5464183524748444,1.4394783458474372,2.686650857193767,0.4270898748575598
planning_time_ms,random_forest,False,0.49829043788753136,0.921911319764038,0.4423123836591985,1.2892875789002618,2.369190915636788,0.4515991238176317
planning_time_ms,hist_gradient_boosting,True,0.4987495083158849,0.9246953069917362,0.44438805950806093,1.2794441036376816,2.4159205490942437,0.4482820015999469
